ID,中文动作,英文动作,类别,来源关系,元动作ID,道具ID,定位,来源,链接,演示范围,说明,成功判据建议,新增演示与定位
J11,拇指屈曲,Thumb flexion,joint,direct,P01,none,官方动作图 Exercise A11,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,以自然张开的手开始，执行拇指屈曲；掌面与腕姿态保持可观测。,目标方向明确；无明显腕部代偿。,[]
J12,拇指伸展,Thumb extension,joint,direct,P02,none,官方动作图 Exercise A12,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,以自然张开的手开始，执行拇指伸展；掌面与腕姿态保持可观测。,目标方向明确；无明显腕部代偿。,[]
J13,竖拇指,Thumb up,joint,direct,P01;P02,none,官方动作图 Exercise B1,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B1 的起始姿态完成竖拇指，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J14,食中指伸展，其余屈曲,Index and middle extension,joint,direct,P01;P02,none,官方动作图 Exercise B2,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B2 的起始姿态完成食中指伸展，其余屈曲，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J15,无名指与小指屈曲,Ring and little flexion,joint,direct,P01;P02,none,官方动作图 Exercise B3,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B3 的起始姿态完成无名指与小指屈曲，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J16,拇指对向小指根部,Thumb opposing little-finger base,joint,direct,P04,none,官方动作图 Exercise B4,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B4 的起始姿态完成拇指对向小指根部，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J17,五指张开,Abduction of all fingers,joint,direct,P03,none,官方动作图 Exercise B5,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B5 的起始姿态完成五指张开，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J18,握拳,Fingers flexed together in fist,joint,direct,P01;P04,none,官方动作图 Exercise B6,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B6 的起始姿态完成握拳，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J19,食指指向,Pointing index,joint,direct,P01;P02,none,官方动作图 Exercise B7,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B7 的起始姿态完成食指指向，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J20,伸直手指并拢,Adduction of extended fingers,joint,direct,P03,none,官方动作图 Exercise B8,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B8 的起始姿态完成伸直手指并拢，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J21,前臂旋后：中指轴提示,"Supination, middle-finger axis",joint,direct,P07,none,官方动作图 Exercise B9,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B9 的起始姿态完成前臂旋后：中指轴提示，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J22,前臂旋前：中指轴提示,"Pronation, middle-finger axis",joint,direct,P07,none,官方动作图 Exercise B10,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B10 的起始姿态完成前臂旋前：中指轴提示，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J23,前臂旋后：小指轴提示,"Supination, little-finger axis",joint,direct,P07,none,官方动作图 Exercise B11,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B11 的起始姿态完成前臂旋后：小指轴提示，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J24,前臂旋前：小指轴提示,"Pronation, little-finger axis",joint,direct,P07,none,官方动作图 Exercise B12,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B12 的起始姿态完成前臂旋前：小指轴提示，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J25,腕掌屈,Wrist flexion,joint,direct,P05,none,官方动作图 Exercise B13,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B13 的起始姿态完成腕掌屈，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J26,腕背伸,Wrist extension,joint,direct,P05,none,官方动作图 Exercise B14,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B14 的起始姿态完成腕背伸，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J27,腕桡偏,Wrist radial deviation,joint,direct,P06,none,官方动作图 Exercise B15,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B15 的起始姿态完成腕桡偏，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J28,腕尺偏,Wrist ulnar deviation,joint,direct,P06,none,官方动作图 Exercise B16,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B16 的起始姿态完成腕尺偏，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J29,握拳位腕背伸,Wrist extension with closed hand,joint,direct,P01;P05,none,官方动作图 Exercise B17,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,按原图 B17 的起始姿态完成握拳位腕背伸，以舒适范围执行。,记录目标运动及可能代偿；B9–B12 是原数据任务提示差异，旋前 / 旋后主要发生在前臂。,[]
J30,自然静息,Rest,joint,direct,P02,none,DB1: rest position,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,https://ninapro.hevs.ch/instructions/DB1.html,对应原图或官方任务族演示；详见素材说明,手自然放松，记录静息片段。,稳定记录背景信号；不把低幅噪声直接标为动作。,[]
G01,大直径包络抓,Large Diameter,grasp,direct,P14;P10,cylinder,"GRASP #1 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #1 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G02,小直径包络抓,Small Diameter,grasp,direct,P14;P10,cylinder,"GRASP #2 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #2 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G03,中等包络抓,Medium Wrap,grasp,direct,P14;P10,bottle,"GRASP #3 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #3 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G04,拇指内收抓,Adducted Thumb,grasp,direct,P14;P10,cylinder,"GRASP #4 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #4 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G05,轻工具抓,Light Tool,grasp,direct,P10;P10,pen,"GRASP #5 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #5 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G06,四指棱柱抓,Prismatic 4 Finger,grasp,direct,P11;P10,prism,"GRASP #6 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #6 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G07,三指棱柱抓,Prismatic 3 Finger,grasp,direct,P11;P10,prism,"GRASP #7 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #7 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G08,二指棱柱抓,Prismatic 2 Finger,grasp,direct,P11;P10,prism,"GRASP #8 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #8 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G09,掌侧指腹捏,Palmar Pinch,grasp,direct,P11;P10,coin,"GRASP #9 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #9 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G10,力量圆盘抓,Power Disk,grasp,direct,P14;P10,disk,"GRASP #10 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #10 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G11,力量球抓,Power Sphere,grasp,direct,P14;P10,sphere,"GRASP #11 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #11 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G12,精密圆盘抓,Precision Disk,grasp,direct,P11;P10,disk,"GRASP #12 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #12 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G13,精密球抓,Precision Sphere,grasp,direct,P11;P10,sphere,"GRASP #13 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #13 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G14,三脚架抓,Tripod,grasp,direct,P11;P10,sphere,"GRASP #14 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #14 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G15,固定钩抓,Fixed Hook,grasp,direct,P10;P10,handle,"GRASP #15 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #15 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G16,侧向抓,Lateral,grasp,direct,P13;P10,card,"GRASP #16 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #16 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G17,食指伸展抓,Index Finger Extension,grasp,direct,P10;P10,knife,"GRASP #17 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #17 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G18,伸展型抓,Extension Type,grasp,direct,P10;P10,disk,"GRASP #18 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #18 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G19,远端型抓,Distal Type,grasp,direct,P10;P10,scissors,"GRASP #19 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #19 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G20,书写三脚架抓,Writing Tripod,grasp,direct,P11;P10,pen,"GRASP #20 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #20 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G21,三脚架变式,Tripod Variation,grasp,direct,P11;P10,pen,"GRASP #21 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #21 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G22,平行伸展抓,Parallel Extension,grasp,direct,P11;P10,card,"GRASP #22 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #22 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G23,指间内收夹,Adduction Grip,grasp,direct,P03;P10,card,"GRASP #23 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #23 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G24,指尖捏,Tip Pinch,grasp,direct,P12;P10,coin,"GRASP #24 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #24 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G25,侧向三脚架抓,Lateral Tripod,grasp,direct,P13;P10,pen,"GRASP #25 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #25 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G26,四指球抓,Sphere 4 Finger,grasp,direct,P11;P10,sphere,"GRASP #26 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #26 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G27,四脚架抓,Quadpod,grasp,direct,P11;P10,sphere,"GRASP #27 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #27 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G28,三指球抓,Sphere 3 Finger,grasp,direct,P11;P10,sphere,"GRASP #28 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #28 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G29,杆状抓,Stick,grasp,direct,P14;P10,screw,"GRASP #29 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #29 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G30,掌面抓,Palmar,grasp,direct,P14;P10,disk,"GRASP #30 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #30 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G31,环形抓,Ring,grasp,direct,P10;P10,cylinder,"GRASP #31 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #31 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G32,腹侧抓,Ventral,grasp,direct,P11;P10,pen,"GRASP #32 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #32 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
G33,下位钳捏,Inferior Pincer,grasp,direct,P12;P10,coin,"GRASP #33 · Figure 4, p.70",The GRASP Taxonomy of Human Grasp Types,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf,对应原图或官方任务族演示；详见素材说明,依据 GRASP #33 的接触部位与拇指位置摆放物体，保持稳定。中文为本库工作译名；判别以英文名和原图为准。,接触手指、指腹 / 侧面 / 掌面以及拇指位置与原图一致；持握阶段物体相对手保持稳定。,[]
